NO,MODE,DEVICE,ACTUAL,REFER,MEASURE,LIMIT_DOWN,PRESENT_DOWN,LIMIT_UP,PRESENT_UP,FILENAME
597,R.,R715,039.0 o,39.0 o,41.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316034223.CSV"
597,R.,R715,039.0 o,39.0 o,40.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316034831.CSV"
597,R.,R715,039.0 o,39.0 o,41.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316035158.CSV"
597,R.,R715,039.0 o,39.0 o,40.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316034745.CSV"
597,R.,R715,039.0 o,39.0 o,41.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316035116.CSV"
597,R.,R715,039.0 o,39.0 o,40.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316035026.CSV"
597,R.,R715,039.0 o,39.0 o,41.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316035332.CSV"
597,R.,R715,039.0 o,39.0 o,41.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316035414.CSV"
597,R.,R715,039.0 o,39.0 o,41.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316035244.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316034703.CSV"
597,R.,R715,039.0 o,39.0 o,41.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316035554.CSV"
597,R.,R715,039.0 o,39.0 o,42.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316035503.CSV"
597,R.,R715,039.0 o,39.0 o,41.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316040556.CSV"
597,R.,R715,039.0 o,39.0 o,41.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316040514.CSV"
597,R.,R715,039.0 o,39.0 o,41.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316040808.CSV"
597,R.,R715,039.0 o,39.0 o,41.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316040639.CSV"
597,R.,R715,039.0 o,39.0 o,41.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316040723.CSV"
